# FLASH Projection
# m_a [eV]  g_ap [GeV^-1]
4.84161e-07  1e0
4.84161e-07  1.25877e-16
5.02632e-07   1.35342e-16
5.21102e-07   1.44434e-16
5.39573e-07   1.53251e-16
5.58044e-07   1.61787e-16
5.76515e-07   1.70079e-16
5.94986e-07   1.78118e-16
6.13456e-07   1.85806e-16
6.31927e-07   1.93116e-16
6.50398e-07   2.00024e-16
6.68869e-07   2.06513e-16
6.87339e-07   2.12434e-16
7.0581e-07    2.17717e-16
7.24281e-07  2.22315e-16
7.42752e-07   2.26173e-16
7.61223e-07   2.29074e-16
7.79693e-07   2.30867e-16
7.98164e-07   2.31921e-16
8.16635e-07   2.30838e-16
8.35106e-07   2.28437e-16
8.53479e-07   2.97012e-16
8.85414e-07   3.22313e-16
9.1735e-07   3.46358e-16
9.49285e-07   3.69473e-16
9.81221e-07   3.92068e-16
1.01316e-06   4.14137e-16
1.04509e-06   4.35437e-16
1.07703e-06   4.55874e-16
1.10896e-06   4.75282e-16
1.1409e-06    4.93801e-16
1.17283e-06   5.10728e-16
1.20477e-06   5.25814e-16
1.2367e-06   5.40412e-16
1.26864e-06   5.4948e-16
1.30058e-06   5.51353e-16
1.33251e-06   5.7035e-16
1.36445e-06   5.8154e-16
1.39638e-06   5.0393e-16
1.42832e-06   6.064e-16
1.46025e-06   4.63873e-16
1.46025e-06   1e0
