# Mass[eV] |c_t/f_a|[GeV^-1]
2.000000000000000000e+06 0.0142256
3.665961421664871275e+06 0.0142256
6.719636572567562573e+06 0.0142256
1.231696422132053412e+07 0.0142256
2.257675783369377628e+07 0.0142256
4.138276162229578197e+07 0.0142256
7.585380381464500725e+07 0.0142256
1.390385592355121076e+08 0.0142256
2.548549971406266987e+08 0.0142256
4.671442938180242181e+08 0.0142256
8.562664797438782454e+08 0.0142256
1.569519940702921391e+09 0.0142256
2.876899776575325966e+09 0.0142256
5.273301797460716248e+09 0.0142256
9.665860477143503189e+09 0.0142256
1.771733580820164490e+10 0.0142256
3.247553478377442169e+10 0.0142256
5.952702883262638855e+10 0.0142256
1.091118956233702850e+11 0.0142256
2.000000000000000000e+11 0.0142256
2.010000000000000000e+11 0.0142256
2.100000000000000000e+11 0.0142256
3.000000000000000000e+11 0.0142256
3.400000000000000000e+11 0.0142256
3.410000000000000000e+11 0.0142256
3.420000000000000000e+11 1.0e+00
1.000000000000000000e+13 1.0e+00
